






Time,Channel,id,Flags,DLC,Data0,Data1,Data2,Data3,Data4,Data5,Data6,Data7,Counter,AbsTime
0.55113,2,1552,196610,8,01,06,00,ef,d3,00,92,02,179,2024-11-16 12:24:15
0.55127,2,1553,196610,8,a6,09,0a,b1,e3,01,60,62,180,2024-11-16 12:24:15
0.55146,1,1283,2,8,02,48,00,00,00,00,00,00,181,2024-11-16 12:24:15
0.55342,2,1554,196610,8,ae,d1,10,c3,27,08,66,7b,182,2024-11-16 12:24:15
0.55346,1,1285,2,8,02,45,45,00,00,00,00,00,183,2024-11-16 12:24:15
0.55355,2,1555,196610,8,00,00,80,3b,f3,04,73,dc,184,2024-11-16 12:24:15
0.55409,2,259,196610,8,de,0c,7a,07,23,0e,ff,0c,185,2024-11-16 12:24:15
0.55608,2,101,196610,8,6a,bc,73,46,0d,25,17,44,186,2024-11-16 12:24:15
0.55809,2,259,196610,8,de,0c,7b,07,23,0e,fd,0c,187,2024-11-16 12:24:15
0.55846,1,1280,2,8,30,14,76,00,00,9a,82,fc,188,2024-11-16 12:24:15
0.55867,1,1680,2,6,14,76,00,00,9a,82,,,189,2024-11-16 12:24:15
0.56209,2,259,196610,8,df,0c,7a,07,22,0e,00,0d,190,2024-11-16 12:24:15
0.56223,2,1552,196610,8,a7,02,00,76,cf,00,81,16,191,2024-11-16 12:24:15
0.56236,2,1553,196610,8,d3,07,0a,64,e6,01,5b,62,192,2024-11-16 12:24:15
0.56444,2,1554,196610,8,43,d3,10,20,28,08,20,7e,193,2024-11-16 12:24:15
0.56457,2,1555,196610,8,00,00,80,58,f2,04,ac,de,194,2024-11-16 12:24:15
0.56609,2,259,196610,8,e0,0c,79,07,23,0e,fe,0c,195,2024-11-16 12:24:15
0.56620,2,101,196610,8,6a,bc,73,46,0d,25,17,44,196,2024-11-16 12:24:15
0.56847,1,1280,2,8,40,00,00,00,00,00,00,00,197,2024-11-16 12:24:15
0.57009,2,259,196610,8,df,0c,7a,07,22,0e,ff,0c,198,2024-11-16 12:24:15
0.57313,2,1552,196610,8,fe,03,00,33,d1,00,65,1f,199,2024-11-16 12:24:15
0.57327,2,1553,196610,8,d3,07,0a,84,e5,01,d5,5f,200,2024-11-16 12:24:15
0.57346,1,1285,2,8,04,13,01,41,00,00,44,c4,201,2024-11-16 12:24:15
0.57409,2,259,196610,8,e0,0c,7a,07,22,0e,fe,0c,202,2024-11-16 12:24:15
0.57545,2,1554,196610,8,4c,d6,10,ed,25,08,69,7a,203,2024-11-16 12:24:15
0.57559,2,1555,196610,8,00,00,80,f9,eb,04,ad,de,204,2024-11-16 12:24:15
0.57608,2,101,196610,8,6a,bc,73,46,0d,25,17,44,205,2024-11-16 12:24:15
0.57809,2,259,196610,8,e0,0c,7b,07,22,0e,00,0d,206,2024-11-16 12:24:15
0.57848,1,1280,2,8,00,00,00,00,00,00,00,00,207,2024-11-16 12:24:15
0.58209,2,259,196610,8,df,0c,7b,07,24,0e,fe,0c,208,2024-11-16 12:24:15
0.58413,2,1552,196610,8,c8,06,00,9f,d2,00,31,27,209,2024-11-16 12:24:15
0.58426,2,1553,196610,8,69,0b,0a,06,e5,01,ca,60,210,2024-11-16 12:24:15
0.58609,2,259,196610,8,e0,0c,7a,07,23,0e,ff,0c,211,2024-11-16 12:24:15
0.58620,2,101,196610,8,6a,bc,73,46,0d,25,17,44,212,2024-11-16 12:24:15
0.58647,2,1554,196610,8,9b,d9,10,1f,25,08,b0,7d,213,2024-11-16 12:24:15
0.58661,2,1555,196610,8,00,00,80,59,f2,04,b2,e1,214,2024-11-16 12:24:15
0.59009,2,259,196610,8,e0,0c,7a,07,22,0e,00,0d,215,2024-11-16 12:24:15
0.59409,2,259,196610,8,e1,0c,7a,07,22,0e,00,0d,216,2024-11-16 12:24:15
0.59513,2,1552,196610,8,a2,01,00,07,d0,00,2d,35,217,2024-11-16 12:24:15
0.59527,2,1553,196610,8,d1,08,0a,0b,e6,01,2d,62,218,2024-11-16 12:24:15
0.59608,2,101,196610,8,6a,bc,73,46,0d,25,17,44,219,2024-11-16 12:24:15
0.59749,2,1554,196610,8,ea,d5,10,6e,29,08,60,81,220,2024-11-16 12:24:15
0.59762,2,1555,196610,8,00,00,80,b4,f7,04,6f,e3,221,2024-11-16 12:24:15
0.59809,2,259,196610,8,e0,0c,7b,07,22,0e,fe,0c,222,2024-11-16 12:24:15
0.60209,2,259,196610,8,e1,0c,7b,07,23,0e,ff,0c,223,2024-11-16 12:24:15
0.60609,2,259,196610,8,e0,0c,7b,07,22,0e,00,0d,224,2024-11-16 12:24:15
0.60620,2,101,196610,8,6a,bc,73,46,0d,25,17,44,225,2024-11-16 12:24:15
0.60634,2,1552,196610,8,99,02,00,01,d1,00,ca,49,226,2024-11-16 12:24:15
0.60851,2,1554,196610,8,5b,da,10,78,2b,08,58,80,227,2024-11-16 12:24:15
0.60864,2,1555,196610,8,00,00,80,1f,f3,04,c3,dd,228,2024-11-16 12:24:15
0.61009,2,259,196610,8,e2,0c,7b,07,21,0e,00,0d,229,2024-11-16 12:24:15
0.61409,2,259,196610,8,e1,0c,7b,07,22,0e,fe,0c,230,2024-11-16 12:24:15
0.61608,2,101,196610,8,6a,bc,73,46,0d,25,17,44,231,2024-11-16 12:24:15
0.61713,2,1552,196610,8,bb,03,00,8f,cf,00,67,5e,232,2024-11-16 12:24:15
0.61726,2,1553,196610,8,19,0e,0a,25,e6,01,a3,61,233,2024-11-16 12:24:15
0.61809,2,259,196610,8,e1,0c,7c,07,23,0e,fe,0c,234,2024-11-16 12:24:15
0.61952,2,1554,196610,8,52,da,10,5b,2c,08,19,7f,235,2024-11-16 12:24:15
0.61966,2,1555,196610,8,00,00,80,21,f7,04,22,e3,236,2024-11-16 12:24:15
0.62209,2,259,196610,8,e1,0c,7b,07,23,0e,fe,0c,237,2024-11-16 12:24:15
0.62609,2,259,196610,8,e1,0c,7c,07,23,0e,fe,0c,238,2024-11-16 12:24:15
0.62620,2,101,196610,8,6a,bc,73,46,0d,25,17,44,239,2024-11-16 12:24:15
0.62813,2,1552,196610,8,76,04,00,a6,d2,00,75,73,240,2024-11-16 12:24:15
0.62826,2,1553,196610,8,75,0b,0a,2b,e3,01,5b,62,241,2024-11-16 12:24:15
0.63009,2,259,196610,8,e0,0c,7b,07,22,0e,fe,0c,242,2024-11-16 12:24:15
0.63054,2,1554,196610,8,f5,d6,10,7b,25,08,42,7f,243,2024-11-16 12:24:15
0.63068,2,1555,196610,8,00,00,80,76,ef,04,95,e3,244,2024-11-16 12:24:15
0.63409,2,259,196610,8,e1,0c,7b,07,22,0e,fe,0c,245,2024-11-16 12:24:15
0.63608,2,101,196610,8,6a,bc,73,46,0d,25,17,44,246,2024-11-16 12:24:15
0.63809,2,259,196610,8,e1,0c,7b,07,22,0e,00,0d,247,2024-11-16 12:24:15
0.63913,2,1552,196610,8,ed,05,00,4a,d2,00,36,81,248,2024-11-16 12:24:15
0.63926,2,1553,196610,8,05,0a,0a,ee,e6,01,d1,60,249,2024-11-16 12:24:15
0.64156,2,1554,196610,8,55,d6,10,23,2d,08,4f,7f,250,2024-11-16 12:24:15
0.64169,2,1555,196610,8,00,00,80,95,f6,04,45,e1,251,2024-11-16 12:24:15
0.64209,2,259,196610,8,e1,0c,7b,07,24,0e,ff,0c,252,2024-11-16 12:24:15
0.64609,2,259,196610,8,e2,0c,7c,07,23,0e,ff,0c,253,2024-11-16 12:24:15
0.64620,2,101,196610,8,6a,bc,73,46,0d,25,17,44,254,2024-11-16 12:24:15
0.65009,2,259,196610,8,e1,0c,7b,07,22,0e,ff,0c,255,2024-11-16 12:24:15
0.65022,2,1552,196610,8,f9,04,00,c6,d1,00,65,88,256,2024-11-16 12:24:15
0.65036,2,1553,196610,8,12,10,0a,2e,e7,01,80,5e,257,2024-11-16 12:24:15
0.65258,2,1554,196610,8,17,dc,10,d4,2b,08,c5,7d,258,2024-11-16 12:24:15
0.65271,2,1555,196610,8,00,00,80,31,f4,04,d5,e3,259,2024-11-16 12:24:15
0.65409,2,259,196610,8,e2,0c,7c,07,23,0e,fe,0c,260,2024-11-16 12:24:15
0.65608,2,101,196610,8,6a,bc,73,46,0d,25,17,44,261,2024-11-16 12:24:15
0.65809,2,259,196610,8,e1,0c,7c,07,23,0e,fd,0c,262,2024-11-16 12:24:15
0.66113,2,1552,196610,8,eb,04,00,eb,d2,00,9e,8f,263,2024-11-16 12:24:15
0.66126,2,1553,196610,8,12,10,0a,b6,e7,01,1a,63,264,2024-11-16 12:24:15
0.66209,2,259,196610,8,e3,0c,7c,07,23,0e,00,0d,265,2024-11-16 12:24:15
0.66360,2,1554,196610,8,55,d6,10,6c,2e,08,cd,81,266,2024-11-16 12:24:15
0.66373,2,1555,196610,8,00,00,80,93,f3,04,ea,e5,267,2024-11-16 12:24:15
0.66609,2,259,196610,8,e2,0c,7b,07,22,0e,ff,0c,268,2024-11-16 12:24:15
0.66620,2,101,196610,8,6a,bc,73,46,0d,25,17,44,269,2024-11-16 12:24:15
0.67009,2,259,196610,8,e2,0c,7b,07,22,0e,ff,0c,270,2024-11-16 12:24:15
0.67213,2,1552,196610,8,fe,03,00,07,d1,00,ca,a7,271,2024-11-16 12:24:15
0.67227,2,1553,196610,8,9b,0c,0a,0b,e6,01,14,66,272,2024-11-16 12:24:15
0.67409,2,259,196610,8,e3,0c,7b,07,23,0e,fe,0c,273,2024-11-16 12:24:15
0.67462,2,1554,196610,8,44,d7,10,3c,2b,08,55,7f,274,2024-11-16 12:24:15
0.67475,2,1555,196610,8,00,00,80,fd,f4,04,ce,e5,275,2024-11-16 12:24:15
0.67607,2,101,196610,8,6a,bc,73,46,0d,25,17,44,276,2024-11-16 12:24:15
0.67809,2,259,196610,8,e2,0c,7c,07,23,0e,fe,0c,277,2024-11-16 12:24:15
0.68209,2,259,196610,8,e3,0c,7d,07,22,0e,fd,0c,278,2024-11-16 12:24:15
0.68313,2,1552,196610,8,7c,06,00,9f,d2,00,2b,a6,279,2024-11-16 12:24:15
